Title;Kernel: Linear, Cluster Number: 50, C Parameter: 10;;;;;;;;;;;;;;;;;;;;;;
Class;Faces;airplanes;anchor;background_class;headphone;snoopy;soccer_ball;strawberry;windsor_chair;yin_yang;barrel;camera;car_side;dalmatian;ferry;lamp;pizza;pyramid;stop_sign;sunflower;water_lilly;Mean F1 Score;
Value;0.41;0.22;0.29;0;0.4;0.56;0;0.5;0.1;0.44;0;0;0;0;0;0;0;0;0;0;0;0.292542216;
;;;;;;;;;;;;;;;;;;;;;;;
Title;Kernel: Linear, Cluster Number: 50, C Parameter: 100;;;;;;;;;;;;;;;;;;;;;;
Class;Faces;airplanes;anchor;background_class;car_side;dalmatian;ferry;headphone;pyramid;snoopy;soccer_ball;stop_sign;strawberry;sunflower;water_lilly;windsor_chair;yin_yang;barrel;camera;lamp;pizza;Mean F1 Score;
Value;0.39;0.32;0.42;0;0.63;0.33;0;0.4;0.14;0.63;0;0.4;0.4;0.4;0.17;0.57;0.58;0;0;0;0;0.340779905;
;;;;;;;;;;;;;;;;;;;;;;;
Title;Kernel: Linear, Cluster Number: 50, C Parameter: 200;;;;;;;;;;;;;;;;;;;;;;
Class;Faces;airplanes;anchor;background_class;camera;car_side;dalmatian;headphone;pizza;pyramid;snoopy;soccer_ball;stop_sign;strawberry;sunflower;water_lilly;windsor_chair;yin_yang;barrel;ferry;lamp;Mean F1 Score;
Value;0.36;0.3;0.44;0;0;0.45;0.38;0.49;0.17;0.08;0.59;0;0.48;0.32;0.32;0;0.58;0.52;0;0;0;0.304363185;
;;;;;;;;;;;;;;;;;;;;;;;
Title;Kernel: Linear, Cluster Number: 50, C Parameter: 500;;;;;;;;;;;;;;;;;;;;;;
Class;Faces;airplanes;anchor;background_class;barrel;car_side;dalmatian;ferry;headphone;pizza;pyramid;snoopy;soccer_ball;stop_sign;strawberry;sunflower;water_lilly;windsor_chair;yin_yang;camera;lamp;Mean F1 Score;
Value;0.46;0.27;0.19;0;0;0.68;0.48;0.1;0.36;0.25;0.14;0.6;0;0.32;0.52;0.36;0.24;0.48;0.48;0;0;0.31192573;
;;;;;;;;;;;;;;;;;;;;;;;
Title;Kernel: Linear, Cluster Number: 100, C Parameter: 10;;;;;;;;;;;;;;;;;;;;;;
Class;Faces;airplanes;anchor;background_class;headphone;snoopy;strawberry;yin_yang;barrel;camera;car_side;dalmatian;ferry;lamp;pizza;pyramid;soccer_ball;stop_sign;sunflower;water_lilly;windsor_chair;Mean F1 Score;
Value;0.39;0.22;0.19;0;0.29;0.33;0.43;0.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0.306731624;
;;;;;;;;;;;;;;;;;;;;;;;
Title;Kernel: Linear, Cluster Number: 100, C Parameter: 100;;;;;;;;;;;;;;;;;;;;;;
Class;Faces;airplanes;anchor;background_class;car_side;dalmatian;headphone;pizza;pyramid;snoopy;soccer_ball;stop_sign;strawberry;sunflower;water_lilly;windsor_chair;yin_yang;barrel;camera;ferry;lamp;Mean F1 Score;
Value;0.41;0.3;0.33;0;0.65;0.46;0.39;0.09;0.09;0.67;0;0.26;0.55;0.47;0.31;0.55;0.37;0;0;0;0;0.346882257;
;;;;;;;;;;;;;;;;;;;;;;;
Title;Kernel: Linear, Cluster Number: 100, C Parameter: 200;;;;;;;;;;;;;;;;;;;;;;
Class;Faces;airplanes;anchor;background_class;car_side;dalmatian;ferry;headphone;pizza;pyramid;snoopy;soccer_ball;stop_sign;strawberry;sunflower;water_lilly;windsor_chair;yin_yang;barrel;camera;lamp;Mean F1 Score;
Value;0.41;0.3;0.42;0;0.7;0.38;0.17;0.49;0.09;0.17;0.5;0;0.46;0.58;0.5;0.4;0.53;0.58;0;0;0;0.371878186;
;;;;;;;;;;;;;;;;;;;;;;;
Title;Kernel: Linear, Cluster Number: 100, C Parameter: 500;;;;;;;;;;;;;;;;;;;;;;
Class;Faces;airplanes;anchor;background_class;barrel;camera;car_side;dalmatian;ferry;headphone;lamp;pizza;pyramid;snoopy;soccer_ball;stop_sign;strawberry;sunflower;water_lilly;windsor_chair;yin_yang;Mean F1 Score;
